GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0015749	monosaccharide transmembrane transport	0.0137617680936353	0.0137617680936353	+1	ENSG00000106617,ENSG00000119508,ENSG00000134243,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:0003300	cardiac muscle hypertrophy	0.0144715206702697	0.0144715206702697	+1	ENSG00000071282,ENSG00000119508,ENSG00000150907,ENSG00000163110,ENSG00000163884,ENSG00000174697
GO:0014897	striated muscle hypertrophy	0.0179629925884847	0.0179629925884847	+1	ENSG00000071282,ENSG00000119508,ENSG00000150907,ENSG00000163110,ENSG00000163884,ENSG00000174697
GO:0014896	muscle hypertrophy	0.0206477624470314	0.0206477624470314	+1	ENSG00000071282,ENSG00000119508,ENSG00000150907,ENSG00000163110,ENSG00000163884,ENSG00000174697
GO:0045444	fat cell differentiation	0.0228735478600137	0.0228735478600137	+1	ENSG00000102554,ENSG00000109906,ENSG00000119508,ENSG00000127954,ENSG00000134243,ENSG00000150907,ENSG00000163083,ENSG00000174697,ENSG00000221869
GO:0034219	carbohydrate transmembrane transport	0.024566651991796	0.024566651991796	+1	ENSG00000106617,ENSG00000119508,ENSG00000134243,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:0071280	cellular response to copper ion	0.0251671115308961	0.0251671115308961	+1	ENSG00000125148,ENSG00000169715,ENSG00000187193,ENSG00000205364
GO:0009725	response to hormone	0.0283414646028504	0.0283414646028504	+1	ENSG00000115457,ENSG00000119138,ENSG00000119508,ENSG00000134243,ENSG00000145675,ENSG00000150907,ENSG00000151726,ENSG00000157150,ENSG00000157214,ENSG00000163083,ENSG00000163884,ENSG00000164442,ENSG00000168309,ENSG00000174697,ENSG00000179094,ENSG00000180914,ENSG00000185950
GO:0030155	regulation of cell adhesion	0.0297149652459521	0.0297149652459521	+1	ENSG00000046653,ENSG00000070404,ENSG00000109906,ENSG00000111859,ENSG00000115457,ENSG00000119508,ENSG00000120129,ENSG00000145675,ENSG00000162493,ENSG00000163513,ENSG00000164442,ENSG00000167642,ENSG00000168309,ENSG00000174697,ENSG00000196569,ENSG00000221866
GO:0035360	positive regulation of peroxisome proliferator activated receptor signaling pathway	0.0304204292738034	0.0304204292738034	+1	ENSG00000164442,ENSG00000174697,ENSG00000179593
GO:0048870	cell motility	0.0355433304068161	0.0355433304068161	+1	ENSG00000035664,ENSG00000100242,ENSG00000111859,ENSG00000119508,ENSG00000120129,ENSG00000135821,ENSG00000140807,ENSG00000145675,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162614,ENSG00000163513,ENSG00000164442,ENSG00000167549,ENSG00000167642,ENSG00000168309,ENSG00000168621,ENSG00000172403,ENSG00000174697,ENSG00000179593,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866
GO:0046324	regulation of glucose import	0.0383627286793251	0.0383627286793251	+1	ENSG00000106617,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:0030198	extracellular matrix organization	0.0436647391666994	0.0436647391666994	+1	ENSG00000046653,ENSG00000060718,ENSG00000081052,ENSG00000103196,ENSG00000154734,ENSG00000162493,ENSG00000163661,ENSG00000167642,ENSG00000171819,ENSG00000196569
GO:0065007	biological regulation	0.0447452020243286	0.0447452020243286	+1	ENSG00000035664,ENSG00000046653,ENSG00000068383,ENSG00000068831,ENSG00000070404,ENSG00000071282,ENSG00000099337,ENSG00000100033,ENSG00000100242,ENSG00000101347,ENSG00000102554,ENSG00000103175,ENSG00000106617,ENSG00000109906,ENSG00000110756,ENSG00000111859,ENSG00000112936,ENSG00000115457,ENSG00000116194,ENSG00000116285,ENSG00000116675,ENSG00000119138,ENSG00000119139,ENSG00000119508,ENSG00000120129,ENSG00000120162,ENSG00000122035,ENSG00000124440,ENSG00000125148,ENSG00000126803,ENSG00000127324,ENSG00000128045,ENSG00000132518,ENSG00000134243,ENSG00000135821,ENSG00000136237,ENSG00000136478,ENSG00000137393,ENSG00000137672,ENSG00000138829,ENSG00000139132,ENSG00000140807,ENSG00000141401,ENSG00000143127,ENSG00000145244,ENSG00000145390,ENSG00000145675,ENSG00000146122,ENSG00000148175,ENSG00000150907,ENSG00000151726,ENSG00000152583,ENSG00000154734,ENSG00000156675,ENSG00000157150,ENSG00000157152,ENSG00000157514,ENSG00000158246,ENSG00000162493,ENSG00000162614,ENSG00000162616,ENSG00000162772,ENSG00000163083,ENSG00000163110,ENSG00000163171,ENSG00000163251,ENSG00000163513,ENSG00000163661,ENSG00000163884,ENSG00000164442,ENSG00000165507,ENSG00000165995,ENSG00000166741,ENSG00000167641,ENSG00000167642,ENSG00000168309,ENSG00000168481,ENSG00000168621,ENSG00000169715,ENSG00000169738,ENSG00000170214,ENSG00000171819,ENSG00000172403,ENSG00000174697,ENSG00000177283,ENSG00000179094,ENSG00000179593,ENSG00000180914,ENSG00000185950,ENSG00000187193,ENSG00000187288,ENSG00000189221,ENSG00000196569,ENSG00000197381,ENSG00000205364,ENSG00000206538,ENSG00000221866,ENSG00000221869,ENSG00000253368
GO:0043062	extracellular structure organization	0.0448408412167593	0.0448408412167593	+1	ENSG00000046653,ENSG00000060718,ENSG00000081052,ENSG00000103196,ENSG00000154734,ENSG00000162493,ENSG00000163661,ENSG00000167642,ENSG00000171819,ENSG00000196569
GO:0045229	external encapsulating structure organization	0.0472748076708112	0.0472748076708112	+1	ENSG00000046653,ENSG00000060718,ENSG00000081052,ENSG00000103196,ENSG00000154734,ENSG00000162493,ENSG00000163661,ENSG00000167642,ENSG00000171819,ENSG00000196569
GO:0071944	cell periphery	0.000968196812670147	0.000968196812670147	+1	ENSG00000046653,ENSG00000060718,ENSG00000068383,ENSG00000068831,ENSG00000081052,ENSG00000099337,ENSG00000099998,ENSG00000101347,ENSG00000103196,ENSG00000111859,ENSG00000112936,ENSG00000115457,ENSG00000116194,ENSG00000116285,ENSG00000116675,ENSG00000119138,ENSG00000119139,ENSG00000124440,ENSG00000126803,ENSG00000127083,ENSG00000127954,ENSG00000132518,ENSG00000134243,ENSG00000135821,ENSG00000136237,ENSG00000137672,ENSG00000138829,ENSG00000140807,ENSG00000143127,ENSG00000145244,ENSG00000145675,ENSG00000148175,ENSG00000152583,ENSG00000152779,ENSG00000154734,ENSG00000157150,ENSG00000157152,ENSG00000157214,ENSG00000162493,ENSG00000162614,ENSG00000162616,ENSG00000163083,ENSG00000163171,ENSG00000163251,ENSG00000163513,ENSG00000163661,ENSG00000164647,ENSG00000165995,ENSG00000167642,ENSG00000168309,ENSG00000169738,ENSG00000170214,ENSG00000171819,ENSG00000177283,ENSG00000177575,ENSG00000179593,ENSG00000180914,ENSG00000185950,ENSG00000196569,ENSG00000221866
GO:0031012	extracellular matrix	0.025108369437896	0.025108369437896	+1	ENSG00000060718,ENSG00000081052,ENSG00000103196,ENSG00000116194,ENSG00000127083,ENSG00000138829,ENSG00000152583,ENSG00000154734,ENSG00000157150,ENSG00000163661,ENSG00000171819,ENSG00000196569
GO:0030312	external encapsulating structure	0.0255404336150541	0.0255404336150541	+1	ENSG00000060718,ENSG00000081052,ENSG00000103196,ENSG00000116194,ENSG00000127083,ENSG00000138829,ENSG00000152583,ENSG00000154734,ENSG00000157150,ENSG00000163661,ENSG00000171819,ENSG00000196569
REAC:R-HSA-5661231	Metallothioneins bind metals	0.000569221707998681	0.000569221707998681	+1	ENSG00000125148,ENSG00000169715,ENSG00000187193,ENSG00000205364
REAC:R-HSA-5660526	Response to metal ions	0.00169437028367459	0.00169437028367459	+1	ENSG00000125148,ENSG00000169715,ENSG00000187193,ENSG00000205364
WP:WP3286	Copper homeostasis	7.96464221628966e-05	7.96464221628966e-05	+1	ENSG00000125148,ENSG00000127954,ENSG00000150907,ENSG00000157214,ENSG00000164647,ENSG00000169715,ENSG00000187193
WP:WP3599	Transcription factor regulation in adipogenesis	0.00784324941140996	0.00784324941140996	+1	ENSG00000150907,ENSG00000174697,ENSG00000185950,ENSG00000221869
WP:WP4149	White fat cell differentiation	0.0359009351130958	0.0359009351130958	+1	ENSG00000102554,ENSG00000150907,ENSG00000163884,ENSG00000221869
WP:WP4211	Transcriptional cascade regulating adipogenesis	0.036024816428898	0.036024816428898	+1	ENSG00000102554,ENSG00000163884,ENSG00000221869
